Filename,TissueCategory,ComputedShearModulus,Mu1,Alpha1,Mu2,Alpha2,RMSE,PublicationLink,ExperimentalDetails,Numberofdatapoints,InitialGuesses,Optimization,Algorithm
Subject202_Sample8_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0019,0.3653,0.0053,0.3653,0.0053,0.0034,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject201_Sample8_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0049,0.2707,0.0181,0.2707,0.0181,0.0076,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject202_Sample5_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.003,0.3839,0.0078,0.3839,0.0078,0.0078,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject112_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0045,0.0003,14.6572,0.0003,14.6572,0.0211,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject203_Sample2_AgedDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0053,0.2637,0.0199,0.2637,0.0199,0.0037,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject113_Sample7_YoungVentral_Equibiaxial.csv,epithelial and connective tissue,0.0023,0.3768,0.0061,0.3768,0.0061,0.018,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject144_Sample3_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0064,0.2319,0.0278,0.2319,0.0278,0.0088,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject111_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0,0,30.0573,0,30.0573,0.0045,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject201_Sample7_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0038,0.2743,0.0138,0.2743,0.0138,0.007,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject205_Sample5_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0046,0.2628,0.0173,0.2628,0.0173,0.0026,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
Subject113_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0048,0.2655,0.0181,0.2655,0.0181,0.0087,Thisisatesupload1,Thisisatesupload1,"[1, 1, 1, 1]",minimize
