Filename,TissueCategory,ComputedShearModulus,C01,RMSE,PublicationLink,ExperimentalDetails,Numberofdatapoints,InitialGuesses,Optimization,Algorithm

Subject202_Sample8_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0006,0.0006,0.003,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject201_Sample8_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.002,0.002,0.0073,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject202_Sample5_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0009,0.0009,0.0074,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject112_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0087,0.0087,0.0282,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject203_Sample2_AgedDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0021,0.0021,0.0034,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject113_Sample7_YoungVentral_Equibiaxial.csv,epithelial and connective tissue,0.0007,0.0007,0.0178,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject144_Sample3_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0028,0.0028,0.0086,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject111_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.008,0.008,0.0354,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject201_Sample7_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0015,0.0015,0.0068,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject205_Sample5_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0019,0.0019,0.0023,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject113_Sample4_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.002,0.002,0.0085,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject202_Sample4_AgedDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0021,0.0021,0.0154,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject205_Sample6_AgedVentral_Equibiaxial.csv,epithelial and connective tissue,0.0034,0.0034,0.0021,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject113_Sample8_YoungVentral_Equibiaxialup.csv,epithelial and connective tissue,0.0015,0.0015,0.0118,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject112_Sample2_YoungDorsal_Equibiaxial.csv,epithelial and connective tissue,0.0043,0.0043,0.0206,Thisisatesupload1,Thisisatesupload1,[1],minimize
Subject113_Sample8_YoungVentral_Equibiaxial.csv,epithelial and connective tissue,0.0015,0.0015,0.0117,Thisisatesupload1,Thisisatesupload1,[1],minimize
